"@ambxrIynn Lol no worries, u should still watch tho, I say phantom menace, attack of the clones, and revenge of the sith is the best trilogy",2020-01-08 05:41:09,
"@Uhbolish @indyJIG Empire Strikes Back
Rogue One
New Hope
Revenge of the Sith
Return of the Jedi
Solo
Phantom Menace 
Rise of Skywalker
Force Awakens
Attack of the Clones
Last Jedi",2020-01-08 05:37:45,Liberty/Albany
"@ambxrIynn Tbh thats not bad, just keep in mind to watch the phantom menace, attack of the clones, and revenge of the sith if u want to keep track of the storyline :)",2020-01-08 05:34:04,
"#StarWars  films rankings 
Empire Strikes Back 
Return of the Jedi                                      A New Hope 
Revenge of the Sith 
The Last Jedi 
Rogue One 
The Force Awakens 
Solo 
The Rise of Skywalker 
Attack of the Clones 
Phantom Menace",2020-01-08 05:26:23,"Manhattan, NY"
"This right here. This is what I'm talking about. Phantom Menace and ROTJ are finally in credits, and you're already home from seeing ANH or ESB, but Attack of the Clones and Revenge of The Sith still wanna show you some ships slowly fucking landing for whatever reason. #StarWars https://t.co/V660Df3Tab",2020-01-08 05:25:22,"Obviously, NJ"
"Star Wars movie rankings:

1. Empire Strikes Back
2. A New Hope
3. Return Of The Jedi
4. The Force Awakens
5. Rise Of Skywalker 
6. Revenge Of The Sith
7. Phantom Menace
8. The Last Jedi
9. Attack Of The Clones",2020-01-08 05:10:52,"Philadelphia, PA"
"@BigWoodieStyle @VivaLaEthan You can skip attack of the clones if you want. It sets up revenge of the sith. But you should see Revenge of the sith, rogue one then NH, ESB, RotJ, FA, and lastly LJ",2020-01-08 05:04:46,"Grafton, ND"
"1. Empire strikes back 
2. Attack of the clones 
3. revenge of the sith
4. Rise of sky walker 
5. A new hope
6. Force awakens 
7. The last Jedi
8. Rogue one
9. Solo
10. Phantom menace  

This is my list and yes I’m ready to argue",2020-01-08 05:04:40,UCR'20
"me watching attack of the clones when i was younger: i love anakin skywalker!!!1!1!

me watching revenge of the sith: https://t.co/Kf9dffmnZD",2020-01-08 04:50:11,lg{b}t| she/her
"official star wars ranking:

1. 2nd half of rogue one
2. the last jedi
3. attack of the clones
4. empire strikes back
5. the force awakens
6. the phantom menace
7. return of the jedi
8. a new hope
9. revenge of the sith
10. 1st half of rogue one
11. solo
12. the rise of skywalker",2020-01-08 04:37:07,walking children in nature
